Feedback ID,Analysis Score,Feedback Text Preview
1,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
2,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
3,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
4,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
5,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
6,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
7,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
8,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
9,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
10,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
11,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
12,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
13,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
14,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
15,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
16,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
17,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
18,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
19,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
20,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
21,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
22,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
23,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
24,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
25,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
26,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
27,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
28,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
29,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
30,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
31,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
32,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
33,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
34,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
35,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
36,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
37,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
38,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
39,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
40,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
41,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
42,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
43,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
44,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
45,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
46,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
47,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
48,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
49,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
50,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
51,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
52,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
53,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
54,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
55,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
56,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
57,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
58,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
59,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
60,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
61,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
62,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
63,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
64,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
65,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
66,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
67,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
68,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
69,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
70,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
71,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
72,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
73,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
74,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
75,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
76,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
77,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
78,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
79,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
80,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
81,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
82,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
83,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
84,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
85,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
86,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
87,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
88,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
89,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
90,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
91,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
92,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
93,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
94,8.335707805345043e+30,"After using it for several weeks, I have observed that the performance is generally good but there a"
