Feedback ID,Analysis Score,Feedback Text Preview
1,4019793333.06,Battery life could be better but overall good. (Feedback #1)
2,1535427396.77,Too expensive for what you get. (Feedback #2)
3,2484370780.8,Shipping was slow but product is decent. (Feedback #3)
4,1535427490.87,"Poor customer service, would not recommend. (Feedback #4)"
5,1535427399.22,Too expensive for what you get. (Feedback #5)
6,1535427451.46,"Broke after one week, very disappointed. (Feedback #6)"
7,1535427450.12,"Amazing features, exactly what I needed. (Feedback #7)"
8,4019793330.33,Battery life could be better but overall good. (Feedback #8)
9,1535427399.6,Too expensive for what you get. (Feedback #9)
10,1535427476.28,Perfect for beginners and experts alike. (Feedback #10)
11,1535427477.15,Perfect for beginners and experts alike. (Feedback #11)
12,4019793335.9,Battery life could be better but overall good. (Feedback #12)
13,2484370786.99,Shipping was slow but product is decent. (Feedback #13)
14,1535427453.77,"Broke after one week, very disappointed. (Feedback #14)"
15,1535427497.98,"Poor customer service, would not recommend. (Feedback #15)"
16,2484370806.43,"Excellent value for money, will buy again. (Feedback #16)"
17,4019793340.69,Battery life could be better but overall good. (Feedback #17)
18,1535427455.03,"Amazing features, exactly what I needed. (Feedback #18)"
19,2484370848.18,Great product! Very satisfied with the quality. (Feedback #19)
20,1535427448.31,"Broke after one week, very disappointed. (Feedback #20)"
21,4019793335.94,Battery life could be better but overall good. (Feedback #21)
22,1535427449.48,"Amazing features, exactly what I needed. (Feedback #22)"
23,4019793334.93,Battery life could be better but overall good. (Feedback #23)
24,1535427450.1,"Broke after one week, very disappointed. (Feedback #24)"
25,1535427410.47,Too expensive for what you get. (Feedback #25)
26,2484370846.38,Great product! Very satisfied with the quality. (Feedback #26)
27,4019793309.32,User interface is intuitive and easy to use. (Feedback #27)
28,4019793306.68,User interface is intuitive and easy to use. (Feedback #28)
29,2484370781.42,Shipping was slow but product is decent. (Feedback #29)
30,2484370787.1,Shipping was slow but product is decent. (Feedback #30)
31,1535427457.43,"Amazing features, exactly what I needed. (Feedback #31)"
32,2484370800.62,"Excellent value for money, will buy again. (Feedback #32)"
33,2484370847.53,Great product! Very satisfied with the quality. (Feedback #33)
34,1535427478.24,Perfect for beginners and experts alike. (Feedback #34)
35,1535427454.69,"Amazing features, exactly what I needed. (Feedback #35)"
36,4019793337.32,Battery life could be better but overall good. (Feedback #36)
37,4019793339.77,Battery life could be better but overall good. (Feedback #37)
38,4019793337.07,Battery life could be better but overall good. (Feedback #38)
39,2484370802.98,"Excellent value for money, will buy again. (Feedback #39)"
40,2484370789.16,Shipping was slow but product is decent. (Feedback #40)
41,4019793341.51,Battery life could be better but overall good. (Feedback #41)
42,2484370785.74,Shipping was slow but product is decent. (Feedback #42)
43,1535427416.86,Too expensive for what you get. (Feedback #43)
44,1535427460.32,"Amazing features, exactly what I needed. (Feedback #44)"
45,4019793338.42,Battery life could be better but overall good. (Feedback #45)
46,1535427477.29,Perfect for beginners and experts alike. (Feedback #46)
47,1535427418.66,Too expensive for what you get. (Feedback #47)
48,4019793339.03,Battery life could be better but overall good. (Feedback #48)
49,1535427452.56,"Broke after one week, very disappointed. (Feedback #49)"
50,1535427454.49,"Amazing features, exactly what I needed. (Feedback #50)"
51,2484370785.86,Shipping was slow but product is decent. (Feedback #51)
52,2484370781.52,Shipping was slow but product is decent. (Feedback #52)
53,1535427450.11,"Broke after one week, very disappointed. (Feedback #53)"
54,1535427500.26,"Poor customer service, would not recommend. (Feedback #54)"
55,1535427448.22,"Broke after one week, very disappointed. (Feedback #55)"
56,4019793335.22,Battery life could be better but overall good. (Feedback #56)
57,2484370803.02,"Excellent value for money, will buy again. (Feedback #57)"
58,2484370847.14,Great product! Very satisfied with the quality. (Feedback #58)
59,1535427472.82,Perfect for beginners and experts alike. (Feedback #59)
60,1535427415.06,Too expensive for what you get. (Feedback #60)
61,2484370805.37,"Excellent value for money, will buy again. (Feedback #61)"
62,2484370845.81,Great product! Very satisfied with the quality. (Feedback #62)
63,1535427474.54,Perfect for beginners and experts alike. (Feedback #63)
64,4019793339.2,Battery life could be better but overall good. (Feedback #64)
65,1535427496.31,"Poor customer service, would not recommend. (Feedback #65)"
66,2484370848.75,Great product! Very satisfied with the quality. (Feedback #66)
67,2484370852.16,Great product! Very satisfied with the quality. (Feedback #67)
68,1535427448.87,"Broke after one week, very disappointed. (Feedback #68)"
69,2484370845.86,Great product! Very satisfied with the quality. (Feedback #69)
70,1535427452.15,"Broke after one week, very disappointed. (Feedback #70)"
71,2484370788.11,Shipping was slow but product is decent. (Feedback #71)
72,2484370804.77,"Excellent value for money, will buy again. (Feedback #72)"
73,1535427476.47,Perfect for beginners and experts alike. (Feedback #73)
74,1535427453.94,"Broke after one week, very disappointed. (Feedback #74)"
75,1535427454.68,"Amazing features, exactly what I needed. (Feedback #75)"
